id,n,v,cpc,cmp,lc,hc,vt,mv,i,f,g,a,o,c,h,src
740,로지텍 유선 마우스,2380,0.09,98,66.6k,273.4k,-0.03,1.8k|1.7k|2.1k|2.0k|1.9k|1.7k|1.8k|2.1k|2.3k|2.4k|2.6k|2.2k,8,1088,1,32,,J,false,A
741,마우스 판매점,62,0.14,82,34.8k,480.2k,0.2,34|36|88|78|63|58|48|44|45|66|68|54,9,321,1,8,814|704|705|750|703|811|789|751|722|35|786|712,J,false,A
742,무선 마우스,43433,0.18,95,72.1k,315.7k,-0.24,40.6k|37.4k|41.3k|46.7k|49.2k|43.4k|36.4k|41.2k|48.4k|44.8k|48.8k|36.7k,8,9280,0,0,,J,false,A
743,마우스 파는 편의점,23,,12,0,0,-0.33,72|30|61|41|40|50|34|40|30|20|30|20,1,1089,0,0,,J,false,A
744,50 만원 마우스,0,,,0,0,0,14|0|0|0|0|0|0|0|0|0|0|0,8,65,0,0,817,J,false,A
745,가성비 무선 마우스 추천 퀘이사존,23,,64,0,0,-0.66,50|50|40|40|20|20|30|20|30|30|30|10,1,0,0,0,,J,false,A
746,쿠팡 키보드 마우스 세트,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,,J,false,A
747,paw 3370 센서,0,,,0,0,-1,0|10|0|0|10|10|0|0|10|0|0|0,8,65,0,0,785,J,false,A
748,마우스 싼거,0,,,0,0,0,13|0|0|0|0|0|0|0|0|0|0|0,9,8257,0,0,741,J,false,A
749,로지텍 가로휠 마우스,12,,,0,0,-0.05,16|0|0|30|20|20|20|20|19|0|20|18,9,8256,0,0,,J,false,A
750,레이저 마우스,26740,0.17,72,59.1k,425.4k,-0.15,22.6k|20.3k|28.2k|30.0k|24.1k|25.5k|26.1k|29.6k|28.1k|29.4k|27.2k|23.6k,4,10304,1,0,,J,false,A
751,마우스 구매 사이트,46,0.31,87,68.2k,581.6k,0.66,20|20|20|20|20|30|20|30|30|50|40|50,8,1,0,0,786,J,false,A
752,횡스크롤,1700,3.34,1,1.4M,5.3M,0.22,2.0k|2.0k|1.6k|1.9k|2.2k|1.6k|1.5k|1.5k|1.5k|1.5k|1.8k|1.8k,1,10561,0,4,706,J,false,A
753,잠자리 마우스 디시,826,0.39,32,0,0,-0.28,1.3k|1.3k|1.6k|1.6k|1.3k|1.3k|1k|880|1k|880|880|720,1,64,0,0,,J,false,A
754,마우스 ips 테스트,20,,0,0,0,0,10|10|10|10|10|10|10|10|10|10|40|10,1,2113,0,0,,J,false,A
755,무한휠 마우스,1163,0.19,99,70.3k,176.4k,-0.28,880|750|1.1k|830|830|1.0k|1.0k|910|1.1k|1.1k|1.6k|820,8,8257,1,32,,J,false,A
756,갤럭시 노트 마우스,6,,,0,0,-1,10|10|10|10|0|10|0|0|10|10|10|0,9,9281,0,0,789|35|799|801|721|804|764|759|798|838|773|808,J,false,A
757,마우스패드 쿠팡,32,0.17,95,10.1k,587.9k,-0.07,30|30|52|49|67|47|40|30|39|30|30|36,8,64,0,0,,J,false,A
758,하이마트 마우스,233,0.83,61,321.3k,1.3M,-0.04,230|210|270|220|190|250|190|230|210|240|260|200,8,2112,1,0,,J,false,A
759,삼성 블루투스 마우스,1330,0.11,100,58.2k,886.0k,-0.19,1.2k|1.1k|1.2k|1.1k|1.1k|1.1k|1.1k|920|1.3k|1.5k|1.4k|1.1k,8,9280,0,0,,J,false,A
760,마우스 사이트,63,0.08,16,0,0,-0.16,30|30|68|69|90|40|60|30|60|70|70|50,8,64,0,0,,J,false,A
761,마이스 쥐,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,786,J,false,A
762,좌우 스크롤 마우스,90,0.09,18,0,0,-0.3,90|110|90|120|160|140|110|150|130|80|100|90,9,11329,0,0,,J,false,A
763,상하 좌우 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,8256,0,0,829|796|750|749|789|755|35|835|800|762|710|706,J,false,A
764,삼성 무선 키보드 마우스 세트,476,0.07,100,54.8k,287.2k,-0.12,340|340|380|410|370|90|190|290|470|500|520|410,8,1088,1,96,,J,false,A
765,잠자리 마우스,30890,0.09,78,117.1k,619.0k,-0.29,24.2k|29.1k|34.7k|36.6k|31.4k|33.9k|29.8k|35.2k|37.1k|36.0k|30.6k|26.1k,8,9280,1,0,,J,false,A
766,게임용 무선 마우스 추천,265,0.33,95,105.7k,683.8k,-0.41,365|350|410|340|290|320|260|280|320|370|240|187,8,8257,0,0,,J,false,A
767,5만원대 마우스 디시,16,,52,0,0,-0.5,30|20|20|30|20|20|20|20|20|30|10|10,1,0,0,0,,J,false,A
768,초경량 마우스,880,0.17,95,55.7k,372.1k,-0.19,720|720|810|840|760|840|670|750|1.0k|1k|830|810,8,10305,1,0,,J,false,A
769,마우스 비교 사이트,1213,0.81,4,235.9k,840k,-0.02,640|720|780|840|980|1.3k|960|1.1k|1.1k|1.3k|1.3k|1.1k,1,2112,1,16,,J,false,A
770,가로 스크롤 되는 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1089,0,0,706,J,false,A
771,마우스 구입처,3,,,0,0,0,0|0|0|13|10|0|0|0|0|10|0|0,8,65,0,0,786,J,false,A
772,탑마우스,6,,,0,0,-1,10|10|10|10|0|10|10|10|10|10|10|0,1,8256,0,0,786,J,false,A
773,삼성 유선 마우스,513,0.09,100,0,0,-0.16,420|460|500|470|540|560|390|520|560|540|530|470,8,1089,0,64,,J,false,A
774,마우스 성능 비교 사이트,36,,2,0,0,-0.4,30|30|30|40|40|40|40|30|50|40|40|30,1,2112,0,0,,J,false,A
775,로지텍 마우스 파는곳,86,,73,0,0,-0.13,79|80|110|110|58|90|70|70|90|90|90|78,8,2113,1,12,,J,false,A
776,입 마우스,97,0,1,0,0,-0.16,80|90|90|80|100|150|90|78|106|94|110|88,4,65,0,0,,J,false,A
777,mx vertical 횡 스크롤,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,706,J,false,A
778,마우스 드라마,6923,,0,0,0,0.05,11.2k|7.7k|8.3k|6.8k|6.0k|4.7k|4.1k|5.5k|7.1k|5.7k|7.5k|7.5k,1,11584,0,0,,J,false,A
779,가로휠 버티컬 마우스,43,0.13,64,0,0,0.33,0|17|20|30|50|40|60|50|30|40|50|40,4,8256,0,0,,J,false,A
780,30g 마우스,65,,50,0,0,-0.2,69|69|70|84|52|61|50|50|50|85|70|40,5,8257,0,0,817|786,J,false,A
781,마우스 가격비교,29,0.22,62,0,0,0.16,0|10|10|10|10|0|10|10|24|33|27|28,8,8193,0,0,741,J,false,A
782,눈쟁이 마우스 티어,113,1.11,20,0,0,0.57,40|40|50|50|40|50|50|50|70|140|90|110,1,10304,0,0,,J,false,A
783,wqhd 벤치 마크,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,10304,0,0,827,J,false,A
784,마우스 대량 구매,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,1088,0,0,705|750|789|788|702|751|722|797|807|738|35|825,J,false,A
785,마우스 벤치마크 사이트,10,,0,0,0,0,10|20|10|10|10|10|10|10|10|10|10|10,1,65,0,0,782|750|789|702|769|728|810|806|739|797|730|35,J,false,A
786,컴퓨터 마우스,1466,0.3,52,60.4k,409.1k,-0.04,1.5k|1.4k|1.6k|1.7k|1.6k|1.4k|1.5k|1.5k|1.6k|1.3k|1.6k|1.5k,9,8513,0,64,423|740|751|807|742|35|830|713|776|831|723|795,J,false,A
787,몰컴 방음,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,2112,0,0,717,J,false,A
788,마우스 가격,480,0.07,69,38.7k,129.4k,0.73,320|310|360|330|310|300|330|360|420|340|370|730,8,10305,0,64,,J,false,A
789,로지텍 마우스,109633,0.18,97,73.3k,339.9k,0.02,77.1k|70.3k|73.6k|78.6k|78.6k|87.2k|74.9k|82.5k|94k|112.1k|120.3k|96.5k,8,8256,0,0,,J,true,A
790,60 만원 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,8256,0,0,744|705|750|789|722|797|743|735|35|835|713|765,J,false,A
791,옥션 마우스,6,,,0,0,0,10|0|0|10|10|0|10|10|0|10|10|0,8,64,0,0,790,J,false,A
792,스크롤 마우스,396,,,0,0,6.33,30|30|50|60|60|39|50|30|30|20|950|220,9,8513,0,16,706,J,false,A
793,마우스 평균 가격,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,10305,0,0,786,J,false,A
794,잠자리 마우스 종류,320,0.21,38,0,0,-0.47,390|390|410|400|420|470|470|390|420|360|380|220,8,2113,1,0,,J,false,A
795,컴퓨터 무선 마우스,133,0.42,99,0,0,-0.35,110|130|130|140|120|110|140|150|170|140|150|110,8,8257,0,64,,J,false,A
796,가로휠 마우스 추천,110,0.17,98,0,0,-0.28,50|50|60|70|70|110|80|100|140|100|130|100,5,9281,0,0,706,J,false,A
797,마우스 추천,20050,0.22,100,90.2k,518.7k,-0.32,17.6k|17.6k|25.0k|24.8k|21.1k|23.9k|20.7k|21.7k|25.6k|23.4k|19.5k|17.3k,5,8257,1,0,,J,false,A
798,삼성 블루투스 마우스 연결,436,0.23,15,0,0,-0.07,500|560|480|470|440|460|340|340|410|410|520|380,4,9281,0,0,,J,false,A
799,삼성 노트북 마우스,403,0.18,47,0,0,0.03,320|280|310|300|360|310|280|260|320|390|490|330,8,9281,0,0,,J,false,A
800,사이드휠 마우스,96,0.33,100,0,0,-0.27,90|70|90|100|90|90|90|100|110|90|120|80,8,9280,0,0,,J,false,A
801,삼성 마우스 디시,23,,30,0,0,1,0|0|20|40|40|40|10|10|10|20|30|20,1,64,0,0,,J,false,A
802,사무용 마우스 게임,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,8256,0,0,715|745|832|766|839|707|35|765|753|794|768,J,false,A
803,마우스 가격대,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,8257,0,0,786,J,false,A
804,삼성 무선 마우스,2423,0.05,100,60.4k,243.4k,-0.18,2.1k|2.1k|2.2k|2.2k|2.2k|1.9k|1.9k|2.1k|2.4k|2.5k|2.8k|2k,8,1089,0,64,,J,false,A
805,마우스 쇼핑몰,6,,36,0,0,0,10|10|10|0|10|10|10|10|10|0|10|10,8,1,0,0,789|788|751|823|760|722|797|807|742|35|830|786,J,false,A
806,마우스 쉘 비교 사이트,1106,0.33,1,0,0,0.33,370|310|340|360|550|850|550|610|710|1.1k|1.2k|950,1,64,1,2,,J,false,A
807,마우스 파는곳,450,0.1,56,203.4k,602.9k,-0.14,500|480|590|470|460|530|430|390|490|430|500|420,8,3137,0,4,786,J,false,A
808,슬림 마우스,363,0.11,88,0,0,-0.14,290|230|290|260|250|290|280|330|340|390|410|290,8,3136,1,32,,J,false,A
809,쿠팡 마우스 디시,23,,15,0,0,0,30|20|20|40|20|40|20|20|20|30|20|20,1,0,0,0,,J,false,A
810,마우스 순위 디시,43,,12,0,0,-0.4,70|90|110|70|70|90|70|50|50|50|50|30,1,64,0,0,,J,false,A
811,레이저 오프라인 매장 위치,47,,0,0,0,-0.14,40|40|140|110|70|70|40|62|50|60|40|43,1,10305,0,0,,J,false,A
812,나무 위키 마우스,4,,,0,0,0,0|0|0|0|0|0|0|0|0|0|12|0,1,64,0,0,786,J,false,A
813,마우스 메이커,9,,,0,0,-1,0|0|0|0|0|0|0|0|20|17|12|0,5,8257,0,0,782|750|789|754|702|769|774|728|797|730|742|35,J,false,A
814,강변 테크노마트 레이저 매장,23,,3,0,0,0,0|0|110|20|43|20|30|10|20|30|20|20,2,2625,0,0,,J,false,A
815,데스크탑 마우스,17,,,0,0,0.35,13|16|30|29|30|20|16|20|14|15|17|19,8,8257,0,0,786,J,false,A
816,마우스 세일,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,0,0,0,786,J,false,A
817,마우스 쿠팡,58,0.03,100,58.5k,685.3k,0,20|32|30|30|50|40|30|20|40|65|69|40,8,64,0,0,705|789|788|778|757|35|765|820|809|725|714|746,J,false,A
818,마우스 버튼 명칭,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,786,J,false,A
819,마우스 구입,10,0.36,100,147.3k,563.8k,-0.66,30|29|30|26|30|10|26|26|30|10|10|10,8,1088,0,0,786,J,false,A
820,쿠팡 로지텍 마우스,70,0.02,100,207.4k,802.3k,0,70|100|100|80|100|59|70|80|70|70|70|70,8,1088,0,0,,J,false,A
821,로지텍 리프트 가로 스크롤,13,,0,0,0,1,20|20|20|20|35|30|24|20|10|10|10|20,1,1088,0,0,,J,false,A
822,가로 스크롤 마우스 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,8257,0,0,,J,false,A
823,마우스 브랜드,533,0.2,49,0,0,-0.18,510|450|580|540|520|580|520|550|600|550|560|490,4,8257,1,16,,J,false,A
824,무선키보드마우스세트 추천 퀘이사존,26,,100,0,0,-0.6,50|70|70|50|50|50|50|70|50|30|30|20,1,65,0,0,,J,false,A
825,컴퓨존 마우스,5,,,0,0,16,19|14|0|0|0|14|0|0|0|0|0|16,6,0,0,0,786,J,false,A
826,몰폰앱,6,,0,0,0,10,0|10|10|10|10|0|10|0|0|10|0|10,1,65,0,0,717,J,false,A
827,마우스 벤치마크,13,,0,0,0,-0.66,20|20|30|20|20|20|30|30|30|20|10|10,1,8256,0,0,782|750|789|702|774|728|619|810|797|736|730|35,J,false,A
828,가로 휠 마우스 디시,60,,45,0,0,-0.2,20|30|20|50|40|90|70|50|50|70|70|40,4,0,0,0,,J,false,A
829,가로 스크롤 마우스,160,0.45,70,0,0,-0.36,140|180|160|170|180|220|160|150|190|170|190|120,9,9280,0,8,706,J,false,A
830,사무용 마우스,3833,0.24,98,105.2k,366.5k,-0.33,3.6k|2.6k|4.1k|4.6k|3.2k|3.7k|3.7k|3.4k|4.6k|4.2k|4.2k|3.0k,8,8257,1,16,,J,false,A
831,컴퓨터 마우스 가격,33,0.05,68,10k,107.6k,1,36|32|26|26|36|24|33|34|22|31|24|44,8,10305,0,0,,J,false,A
832,게임 마우스,1316,0.16,87,62.1k,330.9k,-0.12,1.0k|870|1.1k|1.1k|900|1.1k|970|1.3k|1.4k|1.4k|1.3k|1.2k,8,8257,0,32,,J,false,A
833,고속 스크롤 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,9280,0,0,706,J,false,A
834,마우스 사이즈비교 사이트,76,1.06,1,0,0,-0.19,30|43|43|30|58|54|67|94|87|90|70|70,1,64,0,0,785,J,false,A
835,블루투스 마우스,19693,0.15,100,67.9k,272.9k,-0.2,11.9k|10.7k|12.0k|11.9k|11.8k|10.2k|10.5k|15.6k|21.8k|19.2k|22.6k|17.2k,8,11331,0,0,,J,false,A
836,마우스 부위 명칭,20,,0,0,0,0,20|10|40|20|20|20|20|20|20|20|20|20,1,2113,0,0,786,J,false,A
837,8 만원 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,2112,0,0,817,J,false,A
838,삼성 슬림 블루투스 마우스,35,0.01,100,0,0,0.17,22|30|38|27|38|27|30|29|23|30|50|27,8,3136,0,0,,J,false,A
839,경량 마우스 디시,26,,48,0,0,-0.66,50|30|50|30|40|30|30|30|30|40|30|10,1,64,0,0,,J,false,A
840,리듬 게임 손목 터널 증후군,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,989,K,false,A
841,움직이는 마우스 손목 받침대,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,9280,0,0,954,K,false,A
842,키보드 와 마우스 의 올바른 사용법,3,,0,0,0,10,10|20|10|10|10|10|10|10|0|0|0|10,1,10305,0,0,974|860|983|949|938|900|35|965|893|862|850|919,K,false,A
843,엄지 손가락 뿌리 통증,17,,,0,0,-0.41,14|27|28|14|28|15|15|21|24|14|23|14,1,10305,0,0,,K,false,A
844,버티컬 마우스 손목아픔,80,,2,0,0,-0.02,140|90|158|90|90|83|70|70|84|50|110|82,1,65,0,0,1601|1390|1239|1270|1316,K,false,A
845,버티컬 마우스 건초염,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,2112,0,0,,K,false,A
846,마우스 클릭 손가락,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,1019,K,false,A
847,급성 손목 통증,8,,,0,0,0.2,12|11|0|12|0|0|0|13|10|0|12|12,1,10305,0,0,954,K,false,A
848,마우스 팔뚝 통증,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,929|1001|989|883,K,false,A
849,마우스 콩알뼈,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,64,0,0,,K,false,A
850,키보드 손목 통증 디시,30,,0,0,0,-0.25,30|30|50|30|50|40|40|40|40|30|30|30,1,64,0,0,954,K,false,A
851,마우스 검지 손가락 통증 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,,K,false,A
852,검지 통증 마우스,4,,,0,0,0,0|0|0|0|0|0|0|0|0|14|0|0,1,65,0,0,,K,false,A
853,수근관증후군 스트레칭,8,,,0,0,-1,70|39|29|12|18|13|13|30|40|26|0|0,1,10305,0,0,989,K,false,A
854,마우스 손목 아픔,72,,24,0,0,-0.2,80|70|90|110|87|68|70|120|63|76|90|50,1,10305,0,0,970|1001|989,K,false,A
855,손목 통증 마우스,90,0.59,32,0,0,-0.46,160|130|170|140|130|90|80|120|150|110|80|80,4,8257,1,32,970|1001|989|1601|1239|1316,K,false,A
856,마우스 팔꿈치,62,,3,0,0,0.16,40|55|50|37|37|30|30|20|60|58|60|70,5,8257,0,0,915|861|920|865|977|883|35|870|1011,K,false,A
857,fps 검지 통증,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,,K,false,A
858,마우스 손목 아픈 이유,0,,,0,0,0,0|0|0|0|17|0|0|0|0|0|0|0,1,8257,0,0,970|1001|989,K,false,A
859,손목 건초염 나무위키,10,,0,0,0,0,10|10|20|10|10|10|10|10|10|10|10|10,1,2112,0,0,989,K,false,A
860,fps 키보드 마우스 위치,20,,0,0,0,-0.5,20|30|40|20|20|20|10|30|20|20|30|10,1,8257,0,0,,K,false,A
861,마우스 엘보,42,0.52,4,0,0,0.88,40|28|27|40|25|20|37|30|25|33|48|47,4,8257,0,0,883,K,false,A
862,키보드 마우스 배치,26,,0,0,0,0,20|20|40|20|10|20|20|20|30|20|30|30,8,8256,0,0,,K,false,A
863,키보드 손가락 마디 통증,20,,2,0,0,0,30|30|40|20|40|30|20|40|20|20|20|20,1,65,0,0,,K,false,A
864,손목 증후군 마우스,6,,,0,0,0,30|19|20|29|20|0|0|16|0|19|0|0,9,8257,0,0,1507|1001|1390|1239|1316,K,false,A
865,마우스 팔꿈치 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,,K,false,A
866,마우스 손목 받침대 위치,20,,0,0,0,30,0|0|0|0|0|0|0|0|0|0|30|30,1,10305,0,0,1001,K,false,A
867,마우스 터널증후군,21,,17,0,0,0,30|29|27|26|38|10|26|10|10|24|29|10,4,10305,0,0,890|1001|989|954|995|35|950|901|917|1029|999|916,K,false,A
868,마우스 손 통증,0,,,0,0,0,0|15|16|0|0|0|0|0|0|0|0|0,1,8288,0,0,902|970|1001|989,K,false,A
869,마우스 손목 쓸림,16,0.28,17,0,0,0,20|20|30|20|10|10|10|10|20|10|20|20,1,1088,0,0,1001|1000,K,false,A
870,컴퓨터 팔꿈치 디시,10,,0,0,0,-0.5,0|0|0|0|0|0|0|20|20|10|10|10,1,64,0,0,,K,false,A
871,손목 통증 위치,31,,,0,0,-0.27,80|80|80|70|80|70|70|80|40|28|36|29,1,10304,0,0,,K,false,A
872,키보드 손목 자세,40,,4,0,0,-0.2,70|40|70|90|50|50|40|30|50|40|40|40,1,8256,0,0,,K,false,A
873,손목 보호대,62670,0.44,90,108.1k,828.6k,0.05,78.1k|85.6k|77.4k|82.9k|78.1k|60.8k|62.1k|61.1k|62.2k|52.4k|70.1k|65.5k,8,3137,0,0,,K,true,A
874,마우스 오른쪽 어깨 통증,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,920,K,false,A
875,마우스 어깨통증,40,,,0,0,-0.5,50|60|40|40|50|30|40|30|60|30|60|30,1,8257,0,0,,K,false,A
876,마우스 손가락 통증 디시,33,,1,0,0,-0.6,30|30|30|50|30|30|30|40|50|40|40|20,1,65,0,0,,K,false,A
877,손목 아플때 마우스,19,,,0,0,-0.25,18|18|20|20|20|18|0|0|27|19|20|20,5,8257,0,0,1507|1001|989|1390|1239|1316,K,false,A
878,손목터널증후군 자세,23,,2,0,0,-0.66,46|50|50|30|40|20|40|20|30|30|30|10,1,10305,0,0,989,K,false,A
879,저감도 팔꿈치,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,10304,0,0,856,K,false,A
880,마우스 팔목보호대,0,,,0,0,-1,0|0|14|20|17|0|0|0|12|0|0|0,8,9280,0,0,954,K,false,A
881,컴퓨터 손목 아플때,0,,,0,0,0,0|0|0|20|15|0|0|0|0|0|0|0,1,8256,0,0,1001|954,K,false,A
882,마우스?!'' 손목 통증,226,0.21,47,203.7k,304.4k,0.52,170|170|210|260|210|140|170|210|170|210|210|260,1,10305,0,0,970|1001|989,K,false,A
883,마우스 팔꿈치 통증,5,,,0,0,16,18|16|30|30|19|20|30|0|0|0|0|16,1,10305,0,0,915|861|888|920|865|977|35|870|885|1011,K,false,A
884,건초염 키보드,5,,,0,0,-1,0|28|19|29|20|0|14|0|14|0|15|0,1,8257,0,0,1001,K,false,A
885,컴퓨터 팔꿈치 통증,30,,13,0,0,-0.25,66|40|40|30|30|30|40|30|40|30|30|30,1,8257,0,0,883,K,false,A
886,키보드 안내 거리,10,,0,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,1,2113,0,0,842,K,false,A
887,정형외과 손목 통증,23,,,0,0,-0.32,25|30|39|50|40|37|34|13|40|28|16|27,1,8769,0,0,954,K,false,A
888,마우스 증후군,50,,13,0,0,-0.2,70|100|80|60|50|50|36|60|50|50|60|40,1,10305,0,0,1001|989|954,K,false,A
889,손가락 통증 마우스,25,,,0,0,1.22,20|30|40|50|30|19|20|30|18|15|20|40,4,65,0,0,920,K,false,A
890,마우스 손목 받침대 효과,99,0.11,58,0,0,0.12,125|121|130|106|110|103|84|100|110|70|104|124,1,8257,0,0,,K,false,A
891,손목 안 아픈 마우스 자세,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,10305,0,0,989,K,false,A
892,마우스 올바른 자세,0,,,0,0,0,0|10|0|0|0|0|0|0|0|0|0|0,5,10305,0,0,1001,K,false,A
893,키보드 높이,263,0.02,2,0,0,-0.13,300|310|290|350|330|290|320|290|290|280|260|250,4,10304,0,32,,K,false,A
894,노트북 손목 통증,13,,3,0,0,0,30|10|10|10|20|10|10|10|10|20|10|10,1,8257,0,0,954,K,false,A
895,마우스 높이 손목,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,9312,0,0,1001,K,false,A
896,마우스 손목 띄우기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8256,0,0,,K,false,A
897,손목 교정,66,,25,0,0,0.97,58|68|72|66|61|83|79|52|44|43|70|87,1,65,0,64,1001|989|954,K,false,A
898,게임 손목 스트레칭,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,1001|989,K,false,A
899,마우스 손목 아플때,0,,,0,0,-1,0|12|0|0|0|0|0|0|14|0|0|0,1,10305,0,0,970|1001|989,K,false,A
900,모니터 키보드 위치,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,,K,false,A
901,손목터널증후군 스트레칭,2940,0.37,16,132.8k,373.2k,0,3.9k|4.4k|4.4k|4.3k|4.1k|3.2k|3.1k|3.1k|3.1k|2.6k|3.1k|3.1k,1,8257,0,0,,K,false,A
902,마우스 검지 통증,32,,0,0,0,-0.02,40|29|40|10|38|30|25|30|36|30|33|35,1,2113,0,0,857|930|929|876|890|1001|989|954|995|1030|35|968,K,false,A
903,마우스 손등 통증,0,,,0,0,-1,0|0|0|0|19|0|0|0|17|0|0|0,1,10305,0,0,,K,false,A
904,게임 손목 아픔,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,989|954,K,false,A
905,글 쓰면 손목,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,1001|989|954,K,false,A
906,마우스 자세 디시,13,,0,0,0,-0.66,30|20|20|20|30|10|20|20|30|10|20|10,1,64,0,0,,K,false,A
907,정중신경 손바닥,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,10304,0,0,989,K,false,A
908,손목건초염 키보드,0,,,0,0,0,0|0|0|14|0|0|0|0|0|0|0|0,4,2113,0,0,1001|1270,K,false,A
909,엄지 손가락 마디 통증,3306,,,0,0,-0.04,1.8k|2.3k|2.7k|2.8k|2.4k|2.2k|2.5k|3.1k|3.4k|3.2k|3.5k|3.2k,1,10305,0,64,,K,false,A
910,마우스 자세,107,0.66,2,0,0,-0.1,140|129|190|159|128|126|140|106|130|109|96|117,5,10304,0,0,1001,K,false,A
911,마우스 키보드 자세,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,10305,0,0,1001,K,false,A
912,손목이 욱신 욱신,6,,7,0,0,-0.16,12|0|20|32|10|10|10|0|12|10|0|10,1,10305,0,0,954,K,false,A
913,무접점 키보드 손가락 통증,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,,K,false,A
914,마우스 인대,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,2113,0,0,970|1001|989,K,false,A
915,fps 팔 아픔,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,,K,false,A
916,팔목 터널 증후군,166,,,0,0,-0.78,150|110|120|80|50|20|30|49|470|290|110|100,1,10305,0,96,,K,false,A
917,손목터널증후군 자가진단,213,,,0,0,-0.08,770|750|640|690|440|1.4k|530|310|240|190|230|220,1,2113,0,0,,K,false,A
918,건초염 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2112,0,0,,K,false,A
919,팜레스트 올바른 사용법,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,,K,false,A
920,마우스 팔 통증,40,,3,0,0,-0.28,35|20|35|30|10|20|48|35|46|35|53|33,1,8257,0,0,930|876|903|1001|954|995|923|875|861|865|883|35,K,false,A
921,패드 손목 아픔,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,970|1001,K,false,A
922,마우스 손목 안아프게,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,970|1001|989,K,false,A
923,마우스 약지 통증 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,,K,false,A
924,손목 안아프게 마우스 잡는법,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,970|989,K,false,A
925,손목 스트레칭 하지마세요,260,0.3,5,202.9k,305.1k,0,390|390|480|480|480|390|320|260|260|260|260|260,1,8257,0,0,,K,false,A
926,엄지손가락 통증 마우스,0,,,0,0,0,0|16|0|12|0|0|0|0|0|0|0|0,4,2113,0,0,930|929|995|923|960|35|909|843|931|958|956|966,K,false,A
927,키보드 마우스 위치 디시,26,,0,0,0,0,30|20|30|20|30|30|20|20|20|30|30|20,1,64,0,0,,K,false,A
